services
cleaning sanitary fumigation services
cfa original tonersrfqktb; original tonersrfqktb; cea original tonersrfqktb
general use office items rfqktb
chemistry laboratory acetylene gas
pallets
onsite support national treasury ifmis security infra
purchase yealink phones
branded folders
charters pullup wide base
cylinder head gasket
hire front end loader hrs; hire front end loader
kimende kagweruiru rivergithunguri
renovation works iten office building
renovation works afc narok office building; renovation works afc muranga office building
hardware materials factory
basic switches mbps ports poe por
giveaways otm
renovation works afc machakos office building
iso quality management system qms documentati
tonner kyocera
groundwater exploitation development including construction sto
stationary
server
food non perishables
request quotation pure mineral drinking
factory spares
sugar wheat flour
planting top dressing fertilizer
biometrics
physics laboratory accessories
seed treatment chemicals framework contract
human drugs
procurement stationery
procurement cleaning materials
procurement cleaning
lot periodic maintenance lot roads kituikusyomumo machak
lot periodic maintenance lot roads devkikinanie mavoko
male female corporate shirts netfund
procurement maintenance support services manage engin
return air ticket rwanda
return air ticket mombasa
clearing forwardibg services
business laptops
proposed upgrading kianyaga market kianyaga town kirinyaga
proposed upgrading kagumo market kagumo town kirinyaga cou
sorting buckets
ngong view court groove lane end roads
chicks
soil scanners
towing services
procurement half board accomodation conference facility
weighbridge tickets
outsourcing kunkur quarry mining operations
quotation design printing authority incur expe
sterile swab sticks buds
newspapers
desk top computers laptops telephone sets; desktop computers laptops telephone sets ipa
procurement web based mobile asset management software
procurement maintenance servicing air conditioners integr
hire two dump trucks kabini quarry; hire dump trucks kabini quarry
gal sheets box profile
creation area managers office nakuru regional office
purchase color multifunctional printer
calenders diaries
printer cartridge cyan yellow magenta
assorted general office supplies toners
installation commissioning dental units nye; installation commissioning dental units compl
modernisation chamber interior works
facelift office speaker clerk modernisation committ
water disposable cups hire hot cold
tender preventive maintenance repair access
request proposal rfp car mortgage schem
return air tickets pax mombasaktbrfqt; return air ticket pax mombasaktbrfqt
agrochemicals herbicides fungicide insecti
staff uniforms
news papers head office
tender legal audit services
tender prventive maintenance corrective maintenance air con
addedum extension group personal accident cover
proposed construction ablution block drainage work endarasha
proposed roofing cabro paving kamakwa market
proposed construction ablution block fence septic tank nyar
tyres size; tyre size
routine maintenance ncpb junction nakwamekwi primarynaurienpuu roa
tender data centre environment monitoring security system
hire podium
proposed two year maintenance air conditioning system
installation assorted office furniture six
public relations services kcaa two years
security services nyeri county referral hospital
cleaning laundry services mukurweini subcounty hos
cleaning services karatina subcounty hospital
three seater modern waiting bay seats nyeri
parts hematology analyzers mukurweini mtkenya subcounty
tender maintenance air conditioning units centre coast
tender markrting advertising agency services
light duty ups kva
medium paper punch engraved helb pencil staedler stick
consultancy services customer satisfaction corrup
installation commissioning secure web gateway
feasibility study seaweed farming blue economy
fishing boat nets diving equipment
crab cage
minutes documentary blue economy media publishing
feasibility study octopus fishing blue economy
tilapia fingerlings
procurement comprehensive insurance dlp vehicles kcp
desktop computers laptops server
tender installation configuration implementation
installation management alarm tracking online mana
firewall network security
motor vehicle insurance cover
fire perils insurance cover
purchase water pump
installation btuh air conditioner unit
tender installation full based pabx ktbrfp
tractors farm equipment
printing framimg iso policy statement size glassed
renovation toilet facilities kfs main field canteen
original toners stock replenishment
toner photocopier machine taskalfa kyocera
hard disks
procurement repairs air conditioning system ceos office
cleaning fumigation pest control services
various toners stationery framework contra
air drier
purchase door locks fittings
paper clips
armored cable
vmwaere licences
installation electrical materials gdc
additional equipment
teaching materials
quote fof contract adultcoffin made hard
tyres kbt
construction oloyiangalani dam
construction oloishooiborkimuka water
courier services
desktop printer
lcd digital display medium
purchase fuel state department wildlife
return air ticketnairobimombasaeldoretnairobi board chairm
factory items
factory electrical spares
boiler maintenance spares
painting eldoret branch
support licences veritas backuop software
drilling borehole consolata shrines
proposed conversion chemistry laboratory
lasejet printer heavy duty colour
lasejet printerscannercopier multifunction
public notice advertisement regarding settlement debts sawmiller
ifmis secondary node colocation site; ifmis secondary note location site
framework contract printed general stat
lab equipment chemicals physical science
laboratory chemicals reagents microbiology; laboratory chemicals reagents zoology
hire splitting firewood timber transport university
quote installation wooden condom dispensers
kaspersky antivirus license
venue ifrrs training
hiring led screens video cameras video mixers power generator
medical cover uhiv felowship program
designing printing uon strategic plan
installation commissioning gis mass valuati
rfq ssl certificates
motor vehicle insurance
periodic maintenance lot roads siaya urban area; periodic maintenance lot roads kisumu urban area
routine maintenance lot roads siaya urban area
routine maintenance lot roads bondo urban area
periodic maintenance lot roads bondo urban area
routine maintenance lot roads kisumu urban area
ups batteries
proposed regeneration mama ngina drive waterfront cultural dis
installation kaspersky enterprise users licen
laptops screen
provisions office cleaning tea preparation services nairob
tender cash transit services
apple ipad
gift bags
laptop; laptops
information security consultancy services
mix ballast
new battery isiolo fire tender
purchase office furnitures
sanitary services central rift region
return air ticket lusaka zambia
venue staff end year party
entertainment services ira staff end year
office stationeryrfqktb
chemistry lab equipment
rfq adobe creative software
consultancy services development business
network storage accessories
public relations consultancy services unclaimed
tender disaster recovery site colocation
eateries
purchase multifunctional heavy duty printers photocopiers contrac
hire transport maanzoni end year party
diesel
quote construction tower shimoni based attached
air tickets poland
security guarding services
port cisco switches
sarian digi wireless routers
printing works
wired router basic
desk top computer; desktop computer
ups specifications
security reseable bags lags
maintenance kbt
computer statationary
conference facility healthit
proposed construction medical complex kirinyaga county referra
tender proposed paving marking kutus parking phase
tender construction proposed kagio matatu parking phase
printing promotional materials fourth coming stakeholders
proposed library block main campus
poultry allied products
printed promotional materials accountable doc
pedal accelerator
case
bracket anchor
brake shoe rear
printed stationery specifications
construction mandera water infrastructure lot
motivational indoor activities end year party
assorted phone models
water meters
install christmas decorations
group personal accident work injury benefit insuran
sanitary pad dispensing boxes
venue rba end year party
mineral water assorted sodas
plumbing materials repairs maintenance
beige brush cotton caps
design printing calendars specifications
quotation design branded items
conversion works create traige room centre
anti medicines
proficiency testing panels
hire accommodation conference facilities staff end year
return air tickets mombasa solomon wanyama richard wambura
procurement cereals
mortar mixer
performance based contract maintenance kisumu bypass uca
return air ticket nairobidar nairobi; return air tickets nairobiarusha nairobi; return air ticket nairobilondon nairobi; return air ticket nairobi dubainairobi; return air ticket nairobi arusha nairobi
performance based contract maintenance muthaiga kiambu
performance based contract maintenance marsabit turbi
routine maintenance spot junct waldena junc
routine maintenance spot mangu thika road
routine maintenance spot masara muhuru bay road
performance based contract maintenance kisian ahero; performance based contract maintenance kisian bondo
printing services license certificates sacco
security services uchumi house icdc projects
venue board management luncheon
fixing polyester cotton curtains complete
branded round neck tshirts branded caps branded biro
computer laboratory furniture
perishable foodstuff; nonperishable foodstuff
fabrication construction installation commissioning flue stack
boardroom chairs ergonomic chairs executiv
executive chair netfund
production transmission services five minutes news
procurement production transmission five minutes news featur
eacc documentary airing services ktn home
eacc documentary airing services citizen
outside catering services framework contract one yea
performance based contract maintenance moi international
return air tickets nairobi belgium nairobi
events management maisha youth festival
maintenance toshiba copiers
maintenance canon copiers
board gift hampers
factory maintenance spares
printing accountable documentsfield payment vouchers finance
box files accounts archives
assorted office stationery toners
suppy delivey various assorted items stock replenishment
printing bronchures mounting pictures mangrove
drapery kfs corporate colours walls tables chairs
dome shaped tent
proposed completion kakamega county court
hire sound system
hiring graduation gowns
routine maintenance spot ngarietkongicheptilil
motor cycle carrier
quote construction classroom shimoni primary school based
request quotation stationery novemb
request quotation ict requirements
request quotation access cards
air time december
air travel
fit works cashier cubicles arziki restaurant
exhibition materials
routine maintenance kfs main field
branding motor vehicles kfs colours
editing voice minute documentary
monthly maintenance lifts government building
printing third national conference booklets full colour page
cleaning materials
installation mettalic grill cage
hire dump trucks
printing various items use iso certification cel
branded diaries
catering services conference facility substation
sanitation sanitary services
assorted electrical items use kfs headqu
banners
motorbikes branded kdb logo fitted carrier
tender installation kva ups kcaa
proposed installation configuration testing training commisio
internet wan links services one year remo
repair printers
return air ticket paris france
printing publications
aggregation switch ports
staff uniform bulk unit
installation mass lab airconditionder
rings assembly
performance based contract maintenance museum hill james
performance based contract pbc maintenance rumuruti nai
performance based contract maintenance ngeria timboroa
performance based contract maintenance merille marsabit
routine maintenance spot maralalmarti baragoi mar
routine maintenance spot kombani kwale marere
construction mpuku drift kamuwongo ciangera road
routine maintenance spot kinango mariakani
performance based contract maintenance maili tisa ngeria
performance based contract maintenance outering road
performance based contract maintenance keroka nyangusu
routine maintenance spot morijo oloiborto kajia
routine maintenance spot lukenya kamulu munyu
routine maintenance spot mwitika twambui road
routine maintenance spot mutomo south kitui gat
routine maintenance spot kachuru junction garbatula
performance based contract pbc maintenance kakamegakakam
construction alany drift alale loima road
routine maintenance lolgorian kehancha road
maintenance protection works box culvert sangosir
maintenance protection works box culvert kaptamakit; maintenance protection works box culvert kaptamaki; maintenance protection works box culvert kaptamak
routine maintenance spot kamweline kachuru
performance based contract maintenance amala rivernarok
performance based contract maintenance kaplongkisii
printing iec materials wad
various minor repair works icdc ground floor reception
air travel nboksmnbo pax; air travel nboksmnbo
installation testing commissioning intergrated enter
hire graduation tents chairs
furniture fittings shelves ksl club main caf
design printing reports
installation weight indicator
carrying repairs lowering pump borehole
printing mtafiti items blu
return air ticket geneva
management operation maintenance athi river juja isinya
management operation maintenance busia rongo weighbridge
grafted hass avocado tree seedlings
digital newspapers
request quotations design produce flex material signages
construction toilet facility residential house kfs officer
toners laserjet pro fnw printer
hire mobile toilets
hire conference full board accommodation marking novembe
water pumps
pin
mzambaraunimtepeni road
goods
marking designated parking persons disabiliti
tender air time scratch cards newspapers throu
comprehensive insurance cover aircraft
comprehensive insurance cover kfs boats
calling cards framework contract
recruitment agency services
branded carrier bag
etr machines
laboratory reagents
consumables stores replenishment
windows pro volume licenses
executive office chair
littman stethoscope
procurement food packaging materials
food stuffs non food items
refurbishment existing greenhouse fishpond
hire transport staff attending csr activity bosco boy
renewal anti virus licenses
lcd projector specifications
laptop computer binding machine spec
printing kfs headed paper aps kfs branded
toners stationeries stock replenishment
office stationery stock replenishment
connectivity services link herufi house secondar
tender computers photocopiers printers
conference services joint jsc tribunal retreat
design printing page calendar
design printing desk calendar
branded umbrellas
branded note books
contract installation btu split unit
electricals harware
admission packprivate wings
accountable documents medical records othe
venue breakfast meeting insurance agents nairo
environment impact assessment manda airport
purchase tubes tyres
request quotation mineral water
request quotation design print src execu
printing nhc quality policy
property valuation services
various small works
carbon brushes
return air ticket nairobimombasanairobi; return air ticket nairobi mombasa nairobi; return air tickets nairobi mombasa nairobi
tender household irrigation water storage project karai kiamb
return air tickets nairobi manila nairobi
conference facilities initial training integrat
patients consulting chairs staff clinic
fresh flowers potted plants maintenance
branded roundneck tshirts
ofcomprehensive insurance cover motor vehicles includ
printing papers ywpwd
lts diesel
fuel
motor rewinding water pump
sealed rechargeable batteries
electronic cleaner
printing iso quality policy alluminium fra
medical gases
routine maintenance spot labuiywocherobonlengon
routine maintenance spot kapkwongchemalal road
routine maintenance spot musasasoko mjingaborder
routine maintenance spot orobochepsitekwachepture
routine maintenance spot songhorsoba road
routine maintenance spot chemamulchebangangmurara
routine maintenance spot kabutingamesile road
routine maintenance spot nganiattaleltanykatanin
routine maintenance spot corner ckitaor road
routine maintenance spot kapkanganisiksikyala roa
routine maintenance spot kapkilelkabikwen road
routine maintenance spot sanjirokabwareng road
routine maintenance spot kipkongorwakiboswa dipmu
routine maintenance spot postakaptis road
routine maintenance spot kimongkagarwokipyeshi
routine maintenance spot kamagikapkorosmokong riv
routine maintenance spot kurgungkaptichtolilet
routine maintenance spot tarmackokwetchepketeica
routine maintenance spot kaptumokipletitocheptuiy
routine maintenance spot chebaruskimolonikchelaba
routine maintenance spot kaiboikipkombot kapkili
routine maintenance spot cheplengu bridge surungai
routine maintenance spot kapkoimurtogosor road
routine maintenance spot kapkuresmatarachepchori
routine maintenance spot saniak seckaplesancheiro
routine maintenance spot cheplengu bridgekamurguiy
routine maintenance spot sparkcheplelachbeiprepar
routine maintenance spot lemookkabrucekapsikiryo
conference facility consultative workshop
hire transport services kunkur quarry factory
page advert standard news paper
install test commission enterprise antivirus solution
branded shirts
quote compressor removal replacement broken bearing; compressor removal replacement broken bearing
rehabilitation routine maintenance murang kiriaini kairo
routine maintenance spot showgroundiruru road
intall test commisioning email specs
tender sunscreen lotion
maintenance zebra card printers
branded polyester tshirts
air travel nbomombasanbo; air travel nbombsnbo
two days cyber security training
airtime calling card; airtime calling cards
proposed repair vehicle regostrarion number cgoa
readvertisement security guarding services wra; readvertisement security guarding services lot
security guarding services lot wra offices athi
general insurance cover
probook laptop resale
fixing tyres
ict equipment
hire system baraza power clinic nairobi west
tablet computers type
lasejet printer light duty colour
purchase spreader spo spares
proposed construction wall canopy septic tank mtrh
proposed roofing opd wing mtrh
foodstuffs poultry
renal items
xray materials
dressing sutures
sabaki marafa baricho
jnct nkoilale nkoswani jnct road
construction meru sewerage infrastructure
conference facility water utility training
purchase printers
pump assemblies
installation commissioning medical equipment
proposed renovation shoeafrica children hospital mtrh
proposed construction rehabilitative female hostel ada
rekeke lake jipe road
performance based contract maintenance mau summitnyahururu
performance based contract maintenance timboroamau summit
routine maintenance spot merti garbatulla
emergency works kahiga marua nanyuki road
routine maintenance spot south kitui gate kone
emergency maintenance moyale dabel road
routine maintenance spot sarimoloiyangalani roa
routine maintenance spot junct kone kalite
performance based contract maintenance busia ugunja
routine maintenance spot junc maikonamarsabit
routine maintenance spot garbatulladanyere roa
performance based contract maintenance bomas kiserian
routine maintenance spot dabel buna road
performance based contract maintenance banghaley madogo jun
emergency maintenance wajir wajir bor along road
routine maintenance spot laisamis bisan biliqu
performance based contract pbc maintenance mtito andei
routine maintenance spot twambui chifiri road
framework contract emergency works lower eastern region
routine maintenance spot arba jahan shull manyatta
construction box culvert along north horr elbaso
performance based contract maintenance kiambu ngewa thuit
routine maintenance spot saru buluk
contract upgrade branch connectivity links
purchase fire alarm panel servofighter scania
requisition dye filmspsn
advisory services resolution security related contr
fuel oil
venue staff team building
epson projectors resale
tender lubricants
conference facilities nakuru
chassers factory
purchase ict equipment
repair cat hard start
body repair services kag
hire transport services bissil quarry factory athi
upgrade email system specifications
jnct iltriben rikat ilmotiok road
upgrading bitumen standards maintenance masara sori road
performance based contract maintenance mombasa southern byp
performance based contract maintenance kericho mau summit
performance based contract maintenance nyahururu interchang
performance based contract maintenance street lighting
performance based contract maintenance naivasharironi
routine maintenance kapsakwony kitale road
performance based contract maintenance isineti loitoktok
performance based contract maintenance ahero kericho
performance based contract maintenance ugunja kisian
performance based contract pbc maintenance tsavo river
repair periodic maintenance safes strong room doors
request quotation legal services
pharmaceuticals; nonpharmaceuticals
event management services garissa county
purchase motor vehicleford everest xlt south africa cont
purchase motor vehicletoyota fortuner gunrsntshn automatic
installation new chokes wattswatts new led lights
proposed kuria witemere box culvertmweiga
proposed kaburia foot bridge wamaganamahiga
proposed gathambara double box culvertgatarakwa
proposed upgrading kings medicalnyange primary school road grav
proposed njanjara box culvert gikondi
proposed kiragati bouble box culvert magutu
proposed upgrading bitumen standard railwaydc office –ragati
proposed pothole patching asphalt concrete overlay selected roa
proposed upgrading pgh mortuary road bitumen standard rware
proposed matiriongo double box culvert chinga
proposed gravelling drainage works nyewascoitaramumbi road
proposed kimunukarunda foot bridge wamaganamahiga
explosives
consultancy services development livelihood restoration plan
tender medical insurance cover board directors
printed medicine packaging materials
eye centre uniform linen
actuarial services setting postretirement medical
mobile toilets garissa county
printed examination booklets
install configure firewall appliance user licence
internet services mps two years kcaa headqua
upgrading assembly park
periodic maintenance kenyatta street
periodic maintenance makasembo
periodic maintenance moi avenue
upgrading assembly –kitale policepost bank
performance based contract maintenance malaba webuye
motor vehicle tyres gkb
return airticket boston
medical insurance group personal accident group life
construction machakos water works
printing reports
proposed upgrading kingongo ack road gichiche mitai chinga dam
door signages car visitors pass tags
toners cartridges framework
request nrf research materials
renewal dell emc vnx license upgrade support
professional official photographs
depot cctv solution network connectivity
outsourcing bissil quarry mining operations
periodic maintenance othaya karima kiandu road
rfq personal laptop computers
printing papers
printing branded note books
hardware materials; hardware material
purchase double impeller water pump
tender laying cabro blocks phase meru national ployt
tender construction perimeter fence farm house giaki
airing eacc informercial
return airticket mombasa four staff
full board accommodation facilities staff sensitizati
assorted consumable national kecirtcc
facilitation services rba family fun day
agm items
drilling boreholes within nairobi
ncwsc wide area network links fibre sfp tra
quote tilling floor works fineshes flo
installation two biometric readers office
return air tickets; return air ticket
air conditioning maintenance
calcium hypochloride chloorine
counter books file separators branded biro pens carbon
imaging drum external hard disk flash disk
envelopes marker pens file fasteners folders flimsy folde
ultrasound gel litres
request quotations repair managing trustee car kce
photography videography services
user support services navision system
procurement materials equipping mwengenye borehole dandor
translation services
outsourcing cleaning services
comprehensive maintenance cctv access control
tents chairs tables exhibition tent road show van durin; tents chairs tables exhibition tent road show van
anti virus
studio ecn radio recording equipment
full day conference services migori county october
staff calling cards
phones resale
uniball gel pens ums resale
legal representation
venue stakeholders engagement forum
venue review development risk based supervisio
envelopes
tyres fittng
general tyres
repair doors change door locks
pipe fittings accessories
purchase calling cards
staff medical gpa wiba group life assurance gla
procurement hostel keys
venue training insurance champions nyandarua county
renewal cyber roam
electrical items biawe project
ict equipment biawe project
tyres size gka avensis
branded airborne golf size umbrellas resale
computernetwork tool kit
microsoft operating system windows server
microsoft operating system windows professio; microsoft operating system windows proffessio
virus protection software user year
document conversion software
film digital camera
multipurpose photocopier color
microsoft office suite professional lat
venue rba family fun day
human pharmaceutical dressings
tender household irrigation water project lussegeti nachu war
motor vehicle insurance brokerage services
legal services nairobi court appeal kik
construction chogoria sewerage infrastructure lot; construction chogoria water infrastructure lot
general motor vehicles insurance policies
production documentary
user training lab equipments
strategic bill board near farm warn kenyans
hire two dump trucks tons capacity
conference facilities durings occupational health
packing glue
factory boiler items
request quotations board trustees return tickets nairobi
construction ecde center mahola primary school mumias east
construction ecde center mwiyala primary school lurambi sub
full board accommodation board management
airtime second quarter
return air tickets nairobi capetown nairobi
medical insurance services
mineral bottled water
professional debt collection services
hire transport enashipai naivasha strategic plan retreat
procurement configuration sophos full guard subscription
comprehensive motor vehicle motor cycle insurance cov
bottled water
mwatate wusi road
entertainment band services farewell party
venue farewell party
maintenance library management system amlib
design printing wstf publicity publication
branded merchandise
hire tables chairs decor materials
fluorescent tubes feet feet starters
procurement services external auditor perform enhanced
cables
general printed stationery
advertisement position honorary foresters
conference package facilitation boda boda riders access
public relations services
maintenance kit kyocera
facilitation services rba team building exercise
installation testing voice internet prot
sanitary services within western region offices
assorted printed materials
procurement ambulance
tenderfor installation testing commisioning neu
cleaning sanitary services kenha headquarters
additional office furniture awsb
purchase various stock items
motor vehicle servicing
assorted furnitures
ipad pro
laptop specifications
motor vehicle kdjrgkaey vxl lcruiser prad
design printing iec materials
electrical items
proposed comprehensive year maintenance contract centr
installation lan infrastructure stima plaza floor
assorted stationeries stock replenishment
colour printer cartridges
procurement venue klif stakeholders capacity building
security services machakos
carrying minor services compressor
machining high torsional shaft
vehicle maintenance
air travel pax nboeldnbo
procurement office furniture
return air tickets mombasa beatrice atandi concepta tora
materials seats repair kenya region ywpwd
tents chairs
repair services gkb
proposed completion livestock resilience office mandera east sub
